iter	Logloss
0	0.6357897542
1	0.5879669444
2	0.5473025055
3	0.5132762349
4	0.4825340983
5	0.4581908722
6	0.4368013407
7	0.4172096354
8	0.4017614848
9	0.3866968791
10	0.3752970937
11	0.3638327637
12	0.3565071157
13	0.3472227402
14	0.3393829778
15	0.3334071426
16	0.3287013346
17	0.3224472453
18	0.3169574
19	0.3128207092
20	0.3081902771
21	0.3039180094
22	0.3009797465
23	0.2975458196
24	0.2944556758
25	0.2915502472
26	0.2896161804
27	0.2871982752
28	0.2851416168
29	0.2837021866
30	0.2818711116
31	0.2805041504
32	0.2788724823
33	0.2773663457
34	0.2760553335
35	0.2750229772
36	0.2738401998
37	0.2725905355
38	0.2716758575
39	0.2706183421
40	0.269811849
41	0.2688098145
42	0.2680150935
43	0.2673385544
44	0.2666070429
45	0.2657628428
46	0.2649498444
47	0.2642975006
48	0.2636335017
49	0.2629865977
50	0.262378657
51	0.2617956416
52	0.2613412247
53	0.260915301
54	0.2604228821
55	0.2600418345
56	0.2596200943
57	0.2591511637
58	0.2587078578
59	0.258312322
60	0.2579590734
61	0.2576536204
62	0.2572866999
63	0.2569438655
64	0.2566748047
65	0.2563684794
66	0.256097407
67	0.2558176219
68	0.2555879491
69	0.255235171
70	0.2549960556
71	0.2546934484
72	0.2544703267
73	0.2541871389
74	0.2539024048
75	0.2537037277
76	0.2535101039
77	0.2533252029
78	0.2530317942
79	0.2527833506
80	0.2526133372
81	0.252431577
82	0.252179512
83	0.2519372304
84	0.2517119191
85	0.2515476278
86	0.2513490753
87	0.2511406708
88	0.2509692764
89	0.2507722117
90	0.2506389949
91	0.2504762268
92	0.2502819672
93	0.250124087
94	0.2499788335
95	0.2497879435
96	0.2496519877
97	0.2494918645
98	0.2493067551
99	0.2491277669
100	0.2489706268
101	0.2487972361
102	0.2486634394
103	0.248502121
104	0.2483308411
105	0.2481974258
106	0.2480669098
107	0.2479562836
108	0.2478269526
109	0.247663531
110	0.2475087255
111	0.2473760096
112	0.2472299245
113	0.2471075312
114	0.2470045649
115	0.2468657557
116	0.2467344589
117	0.2466317851
118	0.2464783147
119	0.2463571574
120	0.2462244771
121	0.2461017888
122	0.2459923325
123	0.2458725662
124	0.2457491989
125	0.245589592
126	0.2454652786
127	0.2453532155
128	0.2452663294
129	0.2451612651
130	0.2450357285
131	0.2449252879
132	0.2448149719
133	0.2447233582
134	0.2446102397
135	0.2444924876
136	0.2443787893
137	0.2443032506
138	0.2441858342
139	0.2440612768
140	0.2439743347
141	0.2438708979
142	0.2437610118
143	0.2436576462
144	0.2435597509
145	0.2434567769
146	0.2433407542
147	0.2432458878
148	0.2431455968
149	0.2430671005
150	0.2429832102
151	0.2428736343
152	0.2427770437
153	0.2426835861
154	0.242550443
155	0.2424669902
156	0.2423649572
157	0.242270518
158	0.2421880086
159	0.2421230469
160	0.2420529709
161	0.2419638723
162	0.241883138
163	0.2417993037
164	0.2417394587
165	0.2416636047
166	0.241534818
167	0.2414854253
168	0.2414164581
169	0.241303098
170	0.2412280273
171	0.2411261724
172	0.2410412394
173	0.240979009
174	0.2408832906
175	0.2408120702
176	0.2407244949
177	0.2406711833
178	0.2405909322
179	0.2404846624
180	0.2404106776
181	0.24031265
182	0.240221316
183	0.2401565272
184	0.2400607783
185	0.2400101318
186	0.2399204814
187	0.2398180822
188	0.2397733561
189	0.2397053121
190	0.2396173325
191	0.2395479431
192	0.2394473139
193	0.2393591461
194	0.2392888082
195	0.2391894023
196	0.239062973
197	0.2389795049
198	0.2388852641
199	0.2388228683
200	0.2387339783
201	0.2386666514
202	0.238603035
203	0.2385224864
204	0.2384624201
205	0.2384133631
206	0.2383176168
207	0.2382309952
208	0.2381547826
209	0.2380262731
210	0.2379605662
211	0.2378584595
212	0.2378231049
213	0.2378172455
214	0.2377325414
215	0.2376784286
216	0.2376044566
217	0.2375714722
