iter	Passed	Remaining
0	144	37909
1	149	19579
2	153	13322
3	157	10209
4	161	8379
5	165	7131
6	169	6217
7	173	5547
8	177	5036
9	181	4620
10	185	4273
11	189	3985
12	194	3746
13	197	3531
14	201	3346
15	205	3187
16	209	3048
17	213	2921
18	217	2804
19	221	2699
20	225	2607
21	229	2528
22	233	2447
23	237	2375
24	242	2316
25	246	2254
26	250	2197
27	254	2141
28	258	2096
29	262	2044
30	265	1997
31	269	1956
32	274	1922
33	278	1885
34	282	1848
35	287	1817
36	291	1786
37	295	1757
38	299	1728
39	304	1704
40	309	1683
41	313	1657
42	317	1634
43	322	1613
44	326	1590
45	331	1568
46	335	1548
47	340	1532
48	344	1509
49	348	1490
50	352	1471
51	357	1455
52	361	1437
53	365	1422
54	370	1406
55	374	1390
56	378	1373
57	382	1357
58	387	1345
59	390	1328
60	395	1315
61	398	1299
62	403	1288
63	407	1272
64	411	1260
65	415	1246
66	420	1237
67	424	1224
68	429	1213
69	432	1199
70	437	1189
71	442	1179
72	445	1165
73	450	1156
74	454	1144
75	458	1134
76	461	1121
77	466	1111
78	470	1101
79	475	1094
80	480	1086
81	485	1078
82	490	1069
83	494	1058
84	498	1049
85	502	1040
86	507	1032
87	511	1023
88	515	1014
89	521	1007
90	525	998
91	529	989
92	534	982
93	538	974
94	543	966
95	546	956
96	552	950
97	556	941
98	560	934
99	564	926
100	570	920
101	574	911
102	578	904
103	584	898
104	589	892
105	593	884
106	599	879
107	604	872
108	609	866
109	615	861
110	619	854
111	624	847
112	628	839
113	633	833
114	637	826
115	641	818
116	645	811
117	650	805
118	655	798
119	659	791
120	664	785
121	668	778
122	672	771
123	677	764
124	681	757
125	686	751
126	689	744
127	693	737
128	698	731
129	703	725
130	707	718
131	711	711
132	717	706
133	721	700
134	725	693
135	729	686
136	735	681
137	739	675
138	743	668
139	748	663
140	752	656
141	757	650
142	761	644
143	766	638
144	770	632
145	775	626
146	779	620
147	784	614
148	788	608
149	792	602
150	798	597
151	802	591
152	806	584
153	811	579
154	815	573
155	820	567
156	824	561
157	829	556
158	834	550
159	838	544
160	842	538
161	846	533
162	852	527
163	856	522
164	861	516
165	866	511
166	870	505
167	874	499
168	879	494
169	884	489
170	889	483
171	893	477
172	897	472
173	901	466
174	906	460
175	911	455
176	915	449
177	919	444
178	923	438
179	928	433
180	932	427
181	936	421
182	940	416
183	945	411
184	950	405
185	955	400
186	961	395
187	966	390
188	970	385
189	975	379
190	979	374
191	984	369
192	988	363
193	994	358
194	999	353
195	1003	348
196	1007	342
197	1011	337
198	1016	331
199	1020	326
200	1024	321
201	1028	315
202	1032	310
203	1036	304
204	1040	299
205	1045	294
206	1048	288
207	1053	283
208	1058	278
209	1062	273
210	1066	267
211	1070	262
212	1075	257
213	1078	252
214	1082	246
215	1086	241
216	1091	236
217	1094	231
218	1098	225
219	1102	220
220	1106	215
221	1110	210
222	1114	204
223	1119	199
224	1123	194
225	1127	189
226	1130	184
227	1134	179
228	1139	174
229	1143	168
230	1147	163
231	1150	158
232	1155	153
233	1158	148
234	1163	143
235	1166	138
236	1171	133
237	1174	128
238	1178	123
239	1182	118
240	1186	113
241	1190	108
242	1194	103
243	1198	98
244	1202	93
245	1206	88
246	1210	83
247	1214	78
248	1218	73
249	1222	68
250	1226	63
251	1229	58
252	1233	53
253	1238	48
254	1242	43
255	1245	38
256	1249	34
257	1254	29
258	1257	24
259	1261	19
260	1265	14
261	1269	9
262	1273	4
263	1277	0
