CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
782.0,France,Female,42.0,1.0,0.0,1.0,1.0,0.0,92916.53
685.0,France,Male,48.0,5.0,0.0,1.0,1.0,0.0,119903.4
558.0,France,Male,36.0,6.0,111167.7,1.0,0.0,1.0,145558.42
685.0,France,Male,27.0,7.0,0.0,2.0,1.0,1.0,152790.92
662.0,France,Female,33.0,8.0,104489.83,2.0,1.0,0.0,85982.47
623.0,Germany,Female,49.0,6.0,137755.76,1.0,1.0,1.0,141069.73
726.0,Germany,Male,49.0,7.0,140614.15,1.0,1.0,0.0,110219.41
712.0,France,Female,37.0,7.0,0.0,2.0,1.0,1.0,170829.87
703.0,France,Male,41.0,6.0,0.0,2.0,1.0,1.0,61843.73
686.0,France,Male,57.0,0.0,160818.08,1.0,1.0,1.0,71862.79
614.0,Germany,Female,51.0,3.0,131834.76,1.0,1.0,0.0,73329.08
593.0,Germany,Male,43.0,3.0,125877.65,2.0,1.0,0.0,105570.69
479.0,Germany,Male,36.0,6.0,98899.76,2.0,1.0,1.0,157072.91
604.0,France,Male,34.0,7.0,98548.62,1.0,1.0,1.0,132973.31
591.0,France,Male,43.0,7.0,0.0,2.0,1.0,1.0,51820.87
516.0,Spain,Female,36.0,2.0,0.0,2.0,1.0,1.0,89040.61
678.0,France,Male,37.0,5.0,0.0,2.0,1.0,0.0,176547.8
696.0,Spain,Female,30.0,7.0,0.0,2.0,1.0,1.0,94499.06
627.0,France,Male,38.0,6.0,0.0,2.0,1.0,1.0,181429.87
718.0,France,Male,27.0,2.0,120879.65,1.0,0.0,1.0,153015.42
803.0,France,Female,38.0,6.0,0.0,2.0,1.0,0.0,131744.41
814.0,Spain,Male,32.0,4.0,98862.54,1.0,1.0,1.0,142331.85
628.0,Spain,Female,34.0,0.0,0.0,2.0,0.0,0.0,180829.99
633.0,France,Male,41.0,2.0,0.0,1.0,1.0,0.0,175894.24
603.0,France,Male,36.0,3.0,0.0,1.0,1.0,0.0,124596.63
656.0,Spain,Male,40.0,6.0,71283.09,1.0,1.0,0.0,141533.19
738.0,France,Male,32.0,6.0,0.0,2.0,1.0,0.0,92887.06
539.0,Germany,Male,37.0,5.0,125724.95,2.0,1.0,1.0,142987.42
550.0,France,Male,35.0,1.0,0.0,2.0,1.0,0.0,70563.9
642.0,Spain,Female,36.0,9.0,0.0,1.0,1.0,0.0,172749.4
593.0,France,Female,42.0,8.0,0.0,1.0,1.0,1.0,48478.47
748.0,France,Male,57.0,6.0,108465.65,3.0,0.0,0.0,28123.99
749.0,France,Female,32.0,6.0,146796.67,1.0,0.0,1.0,141359.11
561.0,France,Male,30.0,3.0,0.0,1.0,1.0,1.0,126336.72
598.0,France,Female,41.0,2.0,0.0,2.0,0.0,0.0,152499.8
685.0,France,Male,46.0,5.0,0.0,1.0,1.0,1.0,66979.06
699.0,Spain,Female,38.0,8.0,0.0,2.0,1.0,1.0,61793.47
714.0,France,Female,59.0,4.0,0.0,1.0,1.0,1.0,145768.4
731.0,France,Female,38.0,9.0,0.0,1.0,1.0,0.0,65986.48
546.0,Germany,Male,34.0,8.0,121513.31,2.0,1.0,1.0,142518.62
584.0,France,Male,27.0,0.0,120591.36,1.0,1.0,0.0,134889.95
624.0,Germany,Female,46.0,6.0,131394.39,1.0,1.0,0.0,111622.76
584.0,France,Male,39.0,1.0,126524.11,1.0,1.0,1.0,82298.81
682.0,France,Male,31.0,7.0,0.0,2.0,1.0,0.0,132973.21
636.0,France,Male,34.0,6.0,0.0,2.0,1.0,0.0,49826.68
755.0,Spain,Male,32.0,3.0,0.0,2.0,0.0,1.0,177065.24
757.0,Germany,Female,45.0,7.0,125552.96,1.0,0.0,1.0,126153.24
721.0,Spain,Male,43.0,1.0,0.0,1.0,1.0,0.0,109219.43
633.0,France,Male,38.0,9.0,0.0,2.0,1.0,1.0,164647.72
651.0,Spain,Male,41.0,3.0,0.0,1.0,1.0,1.0,130853.02
571.0,France,Male,38.0,5.0,0.0,2.0,1.0,0.0,63736.17
676.0,France,Female,46.0,0.0,0.0,1.0,0.0,0.0,147963.07
633.0,France,Male,43.0,4.0,81042.44,1.0,1.0,0.0,122268.75
587.0,France,Female,37.0,5.0,0.0,1.0,0.0,1.0,122996.84
587.0,France,Female,50.0,5.0,0.0,1.0,0.0,0.0,55829.25
571.0,France,Male,50.0,6.0,0.0,2.0,1.0,1.0,94888.6
586.0,France,Female,44.0,7.0,0.0,2.0,1.0,1.0,86414.41
838.0,France,Female,21.0,6.0,149940.04,1.0,1.0,1.0,163714.92
713.0,France,Female,47.0,9.0,0.0,2.0,1.0,0.0,53520.03
639.0,Spain,Male,33.0,9.0,0.0,1.0,1.0,0.0,162860.93
575.0,France,Male,40.0,6.0,0.0,2.0,1.0,1.0,36754.13
589.0,Spain,Female,51.0,9.0,0.0,2.0,1.0,1.0,81062.93
663.0,Germany,Male,28.0,0.0,105239.1,1.0,1.0,1.0,121311.12
691.0,France,Male,53.0,7.0,0.0,2.0,1.0,1.0,86981.45
683.0,France,Male,41.0,3.0,0.0,1.0,1.0,0.0,72849.31
703.0,Germany,Female,56.0,10.0,117879.32,1.0,1.0,0.0,89983.02
