model,fold,auc_roc,accuracy,f1,precision,recall
CatBoost_Baseline,1,0.933891,0.88625,0.706136,0.757506,0.66129
CatBoost_Baseline,2,0.931146,0.903333,0.752665,0.798643,0.711694
CatBoost_Baseline,3,0.936544,0.900417,0.733556,0.818408,0.664646
CatBoost_Baseline,4,0.933416,0.897083,0.733549,0.787037,0.686869
CatBoost_Baseline,5,0.9181,0.881667,0.684444,0.760494,0.622222
CatBoost_Tuned,1,0.936678,0.895833,0.727669,0.791469,0.673387
CatBoost_Tuned,2,0.934195,0.905417,0.754595,0.81352,0.703629
CatBoost_Tuned,3,0.937286,0.900833,0.729545,0.833766,0.648485
CatBoost_Tuned,4,0.935399,0.899167,0.731111,0.812346,0.664646
CatBoost_Tuned,5,0.920961,0.880417,0.674234,0.76943,0.6
