model,fold,auc_roc,accuracy,f1,precision,recall
XGBoost,1,0.925064,0.883333,0.704017,0.74,0.671371
XGBoost,2,0.916189,0.8825,0.702532,0.736726,0.671371
XGBoost,3,0.923413,0.898333,0.730088,0.806846,0.666667
XGBoost,4,0.923622,0.889167,0.717021,0.757303,0.680808
XGBoost,5,0.91126,0.879583,0.684153,0.745238,0.632323
KNN,1,0.889962,0.87125,0.660812,0.725301,0.606855
KNN,2,0.879515,0.883333,0.702128,0.743243,0.665323
KNN,3,0.886981,0.887083,0.700552,0.773171,0.640404
KNN,4,0.88402,0.874583,0.674595,0.725581,0.630303
KNN,5,0.865312,0.872917,0.658455,0.738693,0.593939
LightGBM,1,0.935709,0.889167,0.71822,0.756696,0.683468
LightGBM,2,0.925433,0.8975,0.738854,0.780269,0.701613
LightGBM,3,0.931121,0.89625,0.724862,0.8,0.662626
LightGBM,4,0.928231,0.89625,0.73369,0.779545,0.692929
LightGBM,5,0.917332,0.881667,0.689956,0.750594,0.638384
CatBoost,1,0.933891,0.88625,0.706136,0.757506,0.66129
CatBoost,2,0.931146,0.903333,0.752665,0.798643,0.711694
CatBoost,3,0.936544,0.900417,0.733556,0.818408,0.664646
CatBoost,4,0.933416,0.897083,0.733549,0.787037,0.686869
CatBoost,5,0.9181,0.881667,0.684444,0.760494,0.622222
