number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,0.930389,2026-06-24 10:00:59.615893,2026-06-24 10:01:06.525515,0 days 00:00:06.909622,0.341661,49,10,352,7.748234,0.027216,3.551085,COMPLETE
1,0.927813,2026-06-24 10:01:06.525515,2026-06-24 10:01:11.733069,0 days 00:00:05.207554,0.100846,180,8,296,1.525863,0.05522,0.005518,COMPLETE
2,0.923959,2026-06-24 10:01:11.733069,2026-06-24 10:01:14.970625,0 days 00:00:03.237556,0.591725,98,6,314,1.059832,0.15502,0.473294,COMPLETE
3,0.931676,2026-06-24 10:01:14.970625,2026-06-24 10:01:17.444644,0 days 00:00:02.474019,0.405009,145,6,212,7.146263,0.082524,0.743778,COMPLETE
4,0.919115,2026-06-24 10:01:17.444644,2026-06-24 10:01:22.870150,0 days 00:00:05.425506,0.858972,116,8,315,1.454502,0.155325,2.325787,COMPLETE
5,0.931688,2026-06-24 10:01:22.870150,2026-06-24 10:01:27.391524,0 days 00:00:04.521374,0.968151,250,7,267,7.674647,0.011787,0.60326,COMPLETE
6,0.931695,2026-06-24 10:01:27.391524,2026-06-24 10:01:31.139467,0 days 00:00:03.747943,0.397408,151,7,290,2.82416,0.034556,4.250667,COMPLETE
7,0.914553,2026-06-24 10:01:31.139974,2026-06-24 10:01:38.151021,0 days 00:00:07.011047,0.338959,125,9,347,2.439867,0.187536,0.011155,COMPLETE
8,0.928293,2026-06-24 10:01:38.151021,2026-06-24 10:01:41.482298,0 days 00:00:03.331277,0.048077,179,6,231,2.32892,0.017989,8.002378,COMPLETE
9,0.932866,2026-06-24 10:01:41.482298,2026-06-24 10:01:44.094847,0 days 00:00:02.612549,0.498584,192,4,318,1.427152,0.041756,0.04973,COMPLETE
10,0.932303,2026-06-24 10:01:44.094847,2026-06-24 10:01:47.500977,0 days 00:00:03.406130,0.659452,228,4,397,4.596727,0.063594,0.045921,COMPLETE
11,0.931979,2026-06-24 10:01:47.500977,2026-06-24 10:01:50.980154,0 days 00:00:03.479177,0.633409,243,4,400,4.361758,0.074808,0.043267,COMPLETE
12,0.932861,2026-06-24 10:01:50.980154,2026-06-24 10:01:54.258600,0 days 00:00:03.278446,0.738166,213,4,400,4.792632,0.050914,0.001145,COMPLETE
13,0.932671,2026-06-24 10:01:54.258600,2026-06-24 10:01:57.817801,0 days 00:00:03.559201,0.743128,202,5,361,4.530472,0.038309,0.001252,COMPLETE
14,0.931968,2026-06-24 10:01:57.817801,2026-06-24 10:01:59.920498,0 days 00:00:02.102697,0.808666,204,4,250,1.742005,0.023828,0.001579,COMPLETE
15,0.929877,2026-06-24 10:01:59.920498,2026-06-24 10:02:03.470237,0 days 00:00:03.549739,0.525609,214,5,370,3.54347,0.101072,0.005629,COMPLETE
16,0.932498,2026-06-24 10:02:03.470237,2026-06-24 10:02:06.440043,0 days 00:00:02.969806,0.197314,172,5,325,6.121543,0.047752,0.137784,COMPLETE
17,0.931885,2026-06-24 10:02:06.440043,2026-06-24 10:02:08.730635,0 days 00:00:02.290592,0.510325,62,4,277,1.009995,0.019057,0.01717,COMPLETE
18,0.928665,2026-06-24 10:02:08.730635,2026-06-24 10:02:11.963682,0 days 00:00:03.233047,0.709024,223,5,376,5.777638,0.111728,0.165902,COMPLETE
19,0.932752,2026-06-24 10:02:11.963682,2026-06-24 10:02:14.561768,0 days 00:00:02.598086,0.988463,167,4,339,9.705054,0.032515,0.003477,COMPLETE
20,0.929319,2026-06-24 10:02:14.561768,2026-06-24 10:02:18.744911,0 days 00:00:04.183143,0.228947,195,7,379,1.944499,0.048298,0.031597,COMPLETE
21,0.932786,2026-06-24 10:02:18.744911,2026-06-24 10:02:21.816238,0 days 00:00:03.071327,0.9808,177,4,334,9.948456,0.031561,0.003019,COMPLETE
22,0.932608,2026-06-24 10:02:21.816238,2026-06-24 10:02:24.746816,0 days 00:00:02.930578,0.875261,190,5,328,9.729874,0.042877,0.002772,COMPLETE
23,0.9326,2026-06-24 10:02:24.746816,2026-06-24 10:02:27.299221,0 days 00:00:02.552405,0.781364,158,4,306,3.017228,0.026803,0.008308,COMPLETE
24,0.932412,2026-06-24 10:02:27.299221,2026-06-24 10:02:30.382948,0 days 00:00:03.083727,0.906985,238,6,333,3.860894,0.015994,0.001096,COMPLETE
